review_id,review_title,review_text,is_a_buyer,brand_name,product_title,avg_product_rating,price,processed_review
22158190,The best,"This product is so good. I have so many foundation from all the brand's.But I loved this foundation,it just glides on your face.my skin is oily but in winter's it becomes normal. Girls don't waste your money in other foundation just buy this one .I am NC 20 in Mac and I ordered 110N light which is just perfect and it does not give my face made-up look.",True,Kay Beauty,Kay Beauty Hydrating Foundation,4.4,900,foundation brand's foundation glides face oily winter's normal girls waste money foundation nc mac ordered light give face made-up
22225703,Bestt foundation,"This is my first try with kay beauty products this foundation has mousse kinda creamy texture, medium coverage",True,Kay Beauty,Kay Beauty Hydrating Foundation,4.4,900,kay beauty products foundation mousse kinda creamy texture medium coverage
22242249,120y,It's nice.... It feels like second skin... I like it.. Tqs kay beauty ans thanks nayka,True,Kay Beauty,Kay Beauty Hydrating Foundation,4.4,900,feels tqs kay beauty ans nayka
22255748,Amazing foundation,This foundation is great for dry skin Works well with a beauty blender,True,Kay Beauty,Kay Beauty Hydrating Foundation,4.4,900,foundation dry works beauty blender
22286287,Long lasting,It blends well with the skin. It's gives a natural look. Long lasting. Even after several hours it gives its look. Select a perfect shade it will give smooth finish and gives radiant look.,True,Kay Beauty,Kay Beauty Hydrating Foundation,4.4,900,blends natural lasting hours select give finish radiant
21766951,"Sheer finish, low coverage and light on skin.",Matches my skin tone perfectly.,True,Kay Beauty,Kay Beauty Hydrating Foundation,4.4,900,matches tone perfectly
21728606,Suits my skin so well,I was skeptical and I bought this after many reviews and I am glad i took this product.... It's best foundation so far even better than the high end brands,True,Kay Beauty,Kay Beauty Hydrating Foundation,4.4,900,skeptical bought reviews glad foundation high end brands
21085098,Very very satisfied,Found the perfect foundation for my skin and i am very very happy. Going to buy this again.,True,Kay Beauty,Kay Beauty Hydrating Foundation,4.4,900,found foundation happy
21632809,Amazing 👍,If you want to buy then don't think anything go for it.... Its amazing,True,Kay Beauty,Kay Beauty Hydrating Foundation,4.4,900,
21095543,Omg🥰🤩😘😘😘,"Omg omg this is the one foundation i hv been looking for.amazing formula ,blendable, non cholky,luxurious finish and so on .100p light ,this is for fair skin with pink tone.thats me and m glad to hv this 😁🥰😋thanks nyka",True,Kay Beauty,Kay Beauty Hydrating Foundation,4.4,900,omg omg foundation hv formula blendable luxurious finish light fair pink tone glad hv nyka
21150005,Kay beauty hydrating foundation,"I picked light. This product is very light weight on your skin, has a good texture that is just right in the way it mixes and sediments as a part of your skin. Overall a very amazing product; this definitely is my go to one everytime.",True,Kay Beauty,Kay Beauty Hydrating Foundation,4.4,900,picked light light weight texture mixes part everytime
21193466,Not recommended for people with flawed skin,"The foundation is very dewy but its not a full coverage foundation. Doesn't work for the skin with pores, blemishes or pimple marks. So people with flawed skin should not go with this foundation. Maybelline foundation gives a better coverage than kay beauty foundation.",True,Kay Beauty,Kay Beauty Hydrating Foundation,4.4,900,foundation dewy full coverage foundation work pores blemishes pimple marks people foundation maybelline foundation coverage kay beauty foundation
21261483,A foundation that melts!,Amazing texture non cakey super duper smooth and easy to apply even for an amateur can apply with ease. Worth the penny require just 2 pumps for neck and face! Good coverage and easily melts on your skin.,True,Kay Beauty,Kay Beauty Hydrating Foundation,4.4,900,texture cakey super duper apply amateur apply ease worth penny require pumps neck face coverage easily melts
21271548,Amazing hydrating foundation,Blends really well. Matches my colour so well. Kay is doing amazing job when it comes to providing colour range for all.,True,Kay Beauty,Kay Beauty Hydrating Foundation,4.4,900,blends matches kay job providing range
21274026,I20 Y light,Very hydrating medium coverage foundation nice.,True,Kay Beauty,Kay Beauty Hydrating Foundation,4.4,900,hydrating medium coverage foundation
21293718,lovely hydrating formula,it's really superb foundation... gives hydration to skin,True,Kay Beauty,Kay Beauty Hydrating Foundation,4.4,900,superb foundation hydration
21354211,My skin but better!,"This foundation has a beautiful formula. It has more coverage and pigment than a BB cream but lesser than an actual full coverage foundation. And this feels better and breathable for my skin. Moisturise well and this will be your best friend. I’m an NC40 in Mac Studio Fix Fluid and 145N fits perfectly. It makes my skin look hydrated and fresh, things that not all foundations are able to do with coverage.",True,Kay Beauty,Kay Beauty Hydrating Foundation,4.4,900,foundation formula coverage pigment bb cream lesser actual full coverage foundation feels breathable moisturise friend nc mac studio fix fluid fits perfectly makes hydrated fresh things foundations coverage
21359808,Buy it on sale,"Good product, best for winters as it doesn't dry your skin. If possible try to pick in up on sale🤭",True,Kay Beauty,Kay Beauty Hydrating Foundation,4.4,900,winters dry pick sale
21392589,This is too good,Shade 105Y for fair to medium skin tones..giving good coverage rathr thn othr high end brands,True,Kay Beauty,Kay Beauty Hydrating Foundation,4.4,900,fair medium tones giving coverage thn othr high end brands
